"id","label","entity_type","dccx_alignment","status","replaced_by","definition","comment","example","source","subclass_of","equivalent_to","disjoint_with","on_property","restriction_type","restriction_filler","cardinality_value","property_domain","property_range","property_characteristic","inverse_of","annotation_predicate","annotation_value"
"http://www.nmdc.com/ontology/OMT#vimID","","AnnotationProperty","","","","","Reference to VIM (International Vocabulary of Metrology) section number@en","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#closeMatch","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#definition","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#exactMatch","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#example","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#note","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#prefLabel","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"http://www.w3.org/2004/02/skos/core#relatedMatch","","AnnotationProperty","","","","","","","","","","","","","","","","","","","",""
"https://ptb.de/dcc/ont/","DCC Ontology@en","Individual","","","","","This ontology is designed to be used in conjunction with:
- SIS Ontology (https://ptb.de/sis/) for numeric quantity values
- OMT Ontology (http://www.nmdc.com/ontology/OMT) for VIM-compliant terminology
- W3C PROV-O for provenance tracking
- ProvONE for workflow provenance (optional)
- SI Digital Framework for unit references

OMT Integration Rationale:
The OMT (Ontology for Measurement Terminology) provides VIM-compliant semantics
that complement the DCC structural model. While DCC focuses on certificate structure,
OMT provides richer semantics for measurement concepts. Key alignment points:
- dcc:MeasurementResult ↔ omt:MeasurementResult (VIM 2.9)
- dcc:UsedMethod ↔ omt:MeasurementMethod (VIM 2.5) / omt:MeasurementProcedure (VIM 2.6)
- dcc:InfluenceCondition ↔ omt:OperatingCondition
- dcc:MeasuringEquipment ↔ omt:MeasuringInstrument
- dcc:CalibrationItem ↔ omt:MeasuredObject
- SIS uncertainty classes ↔ omt:MeasurementUncertainty hierarchy@en","","","","","","","","","","","","","","",""
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://www.w3.org/2000/01/rdf-schema#label","DCC-Ontologie@de"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://purl.org/dc/terms/source","https://ptb.de/dcc/v3.3.0-rc.1/dcc.xsd"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://purl.org/vocab/vann/preferredNamespaceUri","https://ptb.de/dcc/ont/"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://purl.org/vocab/vann/preferredNamespacePrefix","dcc"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://purl.org/dc/terms/title","Digital Calibration Certificate Ontology@en"
"https://ptb.de/dcc/ont/","","","","","","","","","","","","","","","","","","","","","http://purl.org/dc/terms/title","Ontologie für Digitale Kalibrierscheine@de"
